Type,Name,Total Population,Male,Female,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,Over 85,Median age,Households,Households with kids,Households with senior citizens,Avg household size,Avg family size,Total Housing Units,Occupied Housing Units,Vacant Housing,Rental or Vacation Housing,Owner-occupied Housing,Renter-occupied Housing
A,Botetourt County,30496,15227,15269,1749,1892,2194,1937,1121,3358,5442,5242,1985,1564,2474,1205,333,40.7,11700,4129,2828,2.56,2.92,12571,11700,871,300,10268,1432
A,Brunswick County,18419,9776,8643,914,1004,1162,1242,1276,2692,2962,2601,1006,881,1532,871,276,38.1,6277,2051,1992,2.47,3,7541,6277,1264,415,4871,1406
A,Buchanan County,26978,13681,13297,1288,1582,1671,1925,1588,3666,4740,4305,1647,1474,1863,937,292,38.8,10464,3550,2383,2.46,2.87,11887,10464,1423,82,8672,1792
A,Buckingham County,15623,8574,7049,775,929,1165,935,863,2242,2748,2276,820,752,1159,726,233,38.2,5324,1866,1559,2.52,2.99,6290,5324,966,279,4144,1180
A,Campbell County,51078,24924,26154,2985,3457,3691,3232,2781,6795,8169,7507,2989,2593,4040,2230,609,38.3,20639,7055,4975,2.45,2.91,22088,20639,1449,126,15954,4685
A,Caroline County,22121,11011,11110,1381,1559,1602,1424,1153,2915,3696,3188,1318,1028,1569,960,328,37.7,8021,3048,2040,2.69,3.08,8889,8021,868,273,6571,1450
A,Carroll County,29245,14416,14829,1642,1707,1808,1620,1508,3842,4337,4365,1862,1581,2789,1648,536,40.7,12186,3705,3539,2.36,2.8,14680,12186,2494,1296,9958,2228
A,Charles City County,6926,3398,3528,388,421,428,466,352,786,1215,1207,456,333,557,248,69,39.9,2670,919,681,2.59,3.02,2895,2670,225,54,2268,402
A,Charlotte County,12472,5977,6495,689,894,913,830,605,1409,1860,1662,773,654,1158,795,230,40,4951,1652,1593,2.47,3,5734,4951,783,164,3840,1111
A,Chesterfield County,259903,126588,133315,17513,20637,22100,20365,12708,33702,47270,42597,13336,8668,12525,6742,1740,35.7,93772,40877,14796,2.73,3.11,97707,93772,3935,297,75874,17898
A,Clarke County,12652,6261,6391,660,916,888,733,498,1359,2318,1988,794,652,1024,604,218,40.6,4942,1625,1290,2.5,2.97,5388,4942,446,170,3737,1205
A,Craig County,5091,2588,2503,292,328,375,306,229,633,877,777,322,261,392,225,74,39.6,2060,693,520,2.45,2.88,2554,2060,494,329,1672,388
A,Culpeper County,34262,17411,16851,2186,2520,2569,2380,1920,4637,6020,4762,1818,1386,2289,1349,426,36.5,12141,4779,2852,2.68,3.08,12871,12141,730,148,8561,3580
A,Cumberland County,9017,4295,4722,564,654,664,549,460,1126,1395,1279,527,460,779,419,141,38.4,3528,1244,1007,2.55,3.03,4085,3528,557,141,2722,806
A,Dickenson County,16395,8017,8378,875,945,1079,1215,971,1961,2572,2589,959,856,1352,776,245,39.7,6732,2263,1782,2.42,2.88,7684,6732,952,115,5525,1207
A,Dinwiddie County,24533,12193,12340,1367,1719,1818,1521,1105,3151,4432,3704,1484,1238,1709,1039,246,38.5,9107,3434,2223,2.58,3.01,9707,9107,600,54,7214,1893
A,Essex County,9989,4730,5259,520,670,725,594,485,1183,1515,1487,575,502,904,604,225,40.3,3995,1291,1191,2.46,2.95,4926,3995,931,544,3087,908
A,Fairfax County,969749,481373,488376,67781,70076,68544,59762,52425,150257,178871,157350,53268,34597,44403,25493,6922,35.9,350714,134615,55435,2.74,3.2,359411,350714,8697,2098,248820,101894
A,Fauquier County,55139,27250,27889,3526,4160,4515,3869,2251,6365,10355,8692,3312,2305,3280,1865,644,37.8,19842,7887,4043,2.75,3.14,21046,19842,1204,326,15113,4729
A,Floyd County,13874,6849,7025,779,857,911,842,653,1774,2057,2141,908,746,1115,792,299,40.5,5791,1796,1579,2.39,2.83,6763,5791,972,417,4745,1046
A,Fluvanna County,20047,9305,10742,1294,1388,1346,1077,894,2799,3557,2772,1108,1012,1842,755,203,38.3,7387,2642,1909,2.59,2.93,8018,7387,631,220,6297,1090
A,Franklin County,47286,23306,23980,2569,2965,3185,3078,2539,5726,7605,7213,3127,2514,3964,2158,643,39.7,18963,6098,4780,2.44,2.84,22717,18963,3754,2598,15386,3577
A,Frederick County,59209,29620,29589,3825,4529,4654,3973,2786,7944,10924,8503,3201,2567,3667,2011,625,36.7,22097,8736,4439,2.64,3.02,23319,22097,1222,344,17752,4345
A,Giles County,16657,8141,8516,944,1007,1079,977,790,2203,2525,2429,1112,809,1456,1042,284,40.2,6994,2170,2050,2.37,2.85,7732,6994,738,227,5529,1465
A,Gloucester County,34780,17080,17700,2027,2566,2854,2470,1565,4113,6468,5067,1994,1548,2290,1311,507,38,13127,5078,2901,2.62,3.02,14494,13127,1367,459,10681,2446
A,Goochland County,16863,8494,8369,875,974,1105,898,622,2161,3250,2887,1165,817,1297,594,218,40.5,6158,2035,1500,2.51,2.88,6555,6158,397,94,5334,824
A,Grayson County,17917,9289,8628,856,1008,1032,944,1011,2534,2806,2618,1073,1000,1704,1001,330,40.5,7259,2087,2213,2.31,2.77,9123,7259,1864,1095,5912,1347
A,Greene County,15244,7560,7684,1149,1201,1245,900,699,2272,2784,2126,782,601,827,482,176,35.5,5574,2328,1014,2.71,3.07,5986,5574,412,221,4535,1039
A,Greensville County,11560,7130,4430,444,543,707,594,675,2095,2381,1755,599,445,769,420,133,38.1,3375,1204,992,2.51,2.99,3765,3375,390,62,2642,733
A,Halifax County,37355,17782,19573,2203,2549,2463,2313,1769,4325,5532,5542,2263,2023,3260,2330,783,40.7,15018,4967,4587,2.43,2.94,16953,15018,1935,310,11430,3588
A,Hanover County,86320,42479,43841,5611,6740,6878,6291,3764,10211,16275,13356,4663,3372,5223,3077,859,37.4,31121,13111,6434,2.71,3.07,32196,31121,1075,73,26233,4888
A,Henrico County,262300,122922,139378,17932,18812,17908,15223,15380,41138,45028,37178,12038,9062,16212,12050,4339,36,108121,37410,22320,2.39,2.97,112570,108121,4449,454,71089,37032
A,Henry County,57930,28238,29692,3208,3519,3979,3519,3042,7675,9149,8252,3744,3151,5056,2825,811,39.3,23910,7819,6358,2.4,2.87,25921,23910,2011,150,18379,5531
A,Highland County,2536,1254,1282,94,139,168,135,71,218,403,420,186,185,265,207,45,46,1131,298,394,2.24,2.74,1822,1131,691,551,948,183
A,Isle of Wight County,29728,14538,15190,1790,2131,2313,1925,1347,3289,5515,4552,1787,1441,2139,1160,339,38.9,11319,4330,2676,2.61,2.99,12066,11319,747,113,9150,2169
